"ID","NAME","PARENT_ID","CODE","ALIAS","CATEGORY_CODE"
"47e6a88d-4383-4d6e-92c8-d9abacdaed8b",泵,b9323015-b1c9-49f7-81cd-c3d60fc9a2b9,,,
"98af04e6-fc59-4b5a-b5db-618e27a839b1",离心式压缩机,"6f9057ff-eeca-40e1-9c2b-425143c28b9d",,,
"98d356c1-130f-42da-9736-9413e179b2c2",轴(混)流式压缩机,"6f9057ff-eeca-40e1-9c2b-425143c28b9d",,,
"576cbce7-9548-4e37-b7e1-1af96910d79a",往复式压缩机,"6f9057ff-eeca-40e1-9c2b-425143c28b9d",,,
"3a4b2179-1bfe-43c8-b0fa-a9995763d965",螺杆式压缩机,"6f9057ff-eeca-40e1-9c2b-425143c28b9d",,,
"7fe78abd-4c41-4c6d-8bb5-74e08e07630c",刮板式压缩机,"6f9057ff-eeca-40e1-9c2b-425143c28b9d",,,
eced19a1-c602-4af6-9527-cc093f8e39d7,液环压缩机,"6f9057ff-eeca-40e1-9c2b-425143c28b9d",,,
ed781d6f-f986-4af3-9f18-fa82093bbe43,其他压缩机,"6f9057ff-eeca-40e1-9c2b-425143c28b9d",,,
ff93776e-19e5-41e6-a20d-5f9c21dbc765,活塞式压缩机,"576cbce7-9548-4e37-b7e1-1af96910d79a",,,
e829cdc5-0d62-4a17-b991-8f5c0a53e83f,膜片压缩机,"576cbce7-9548-4e37-b7e1-1af96910d79a",,,
e3aeaef4-8c57-4da5-82ac-f03d04af6b09,其他往复式压缩机,"576cbce7-9548-4e37-b7e1-1af96910d79a",,,
"13d4a214-609a-49e0-ab11-c6c3235f15a7",离心式风机,"0fdb541c-971c-44c7-ba19-ad2bf52e3021",,,
a4897e70-2e16-48d7-ba4b-6bc7eef09a16,轴流风机,"0fdb541c-971c-44c7-ba19-ad2bf52e3021",,,
"0f40df09-dd11-45ff-a21a-e1ffcbf65a26",螺杆式风机,"0fdb541c-971c-44c7-ba19-ad2bf52e3021",,,
"4c82c821-dcc3-41ab-a687-e93c3f21bc00",罗茨鼓风机,"0fdb541c-971c-44c7-ba19-ad2bf52e3021",,,
"638b45f7-8595-4bc5-bccf-fbda065a9933",其他风机,"0fdb541c-971c-44c7-ba19-ad2bf52e3021",,,
f7e052e9-beba-4e47-b86d-39b9c58d19fa,制冷机(冰机、冷冻机),"5d807a52-2408-45c1-847d-d7bb5a42242b",,,
"410978e4-a7a8-45b8-a99f-a4b4f8635f3b",空调系统,"5d807a52-2408-45c1-847d-d7bb5a42242b",,,
"61dd3490-b8c5-4f11-a15f-69939107867a",离心式制冷机,f7e052e9-beba-4e47-b86d-39b9c58d19fa,,,
"4b95a5a2-3095-4433-921c-af1910e8eedb",往复式制冷机,f7e052e9-beba-4e47-b86d-39b9c58d19fa,,,
"3a9e0bcc-b87a-4a11-8123-1d92e13a25fe",螺杆式制冷机,f7e052e9-beba-4e47-b86d-39b9c58d19fa,,,
"06948312-6a69-400e-83ea-a117032d1994",其他制冷机,f7e052e9-beba-4e47-b86d-39b9c58d19fa,,,
"5c4968bd-29dc-4559-bb8e-88643dcf29f7",混流泵,"47e6a88d-4383-4d6e-92c8-d9abacdaed8b",,,
bc83103c-6d03-4b23-81e5-a04eae50ce04,轴流泵,"47e6a88d-4383-4d6e-92c8-d9abacdaed8b",,,
"948d0f5f-8be4-4456-b0b9-f091fb4821f0",往复泵,"47e6a88d-4383-4d6e-92c8-d9abacdaed8b",,,
"83bfc36c-592c-4be7-ac73-823eb15d6000",回转泵,"47e6a88d-4383-4d6e-92c8-d9abacdaed8b",,,
"94cdce49-4108-4b30-b154-ea1b694cbd67",旋涡泵,"47e6a88d-4383-4d6e-92c8-d9abacdaed8b",,,
"661d8450-acdf-4e25-88b3-0fdcfb9e1108",屏蔽泵,"47e6a88d-4383-4d6e-92c8-d9abacdaed8b",,,
"574380cc-e7df-41bb-a26f-559d3c1c69cc",磁力泵,"47e6a88d-4383-4d6e-92c8-d9abacdaed8b",,,
d25a32a6-8ff9-4d21-9ff2-bd3926f44e74,喷射泵(器),"47e6a88d-4383-4d6e-92c8-d9abacdaed8b",,,
ed496afa-0900-486f-b447-7fe7fd0ff63f,其他泵,"47e6a88d-4383-4d6e-92c8-d9abacdaed8b",,,
"1ec6909e-8587-49b7-b35c-e821c8b9771b",离心泵,"47e6a88d-4383-4d6e-92c8-d9abacdaed8b",,,
"6ec2b221-b8a9-4cfe-a020-dbbf0c1c40cb",活塞(或柱塞)泵,"948d0f5f-8be4-4456-b0b9-f091fb4821f0",,,
c9d5e902-4c74-49dc-9b77-6caafffa234c,隔膜泵,"948d0f5f-8be4-4456-b0b9-f091fb4821f0",,,
"8ed199ee-a512-4a23-846c-497e247c8082",其他往复泵,"948d0f5f-8be4-4456-b0b9-f091fb4821f0",,,
"24cfef24-9277-4df8-bb79-8b4191522948",齿轮泵,"83bfc36c-592c-4be7-ac73-823eb15d6000",,,
"39873489-e164-474b-9af4-4f4dfcb90b51",螺杆泵,"83bfc36c-592c-4be7-ac73-823eb15d6000",,,
"5bec6f81-eca4-494c-a78a-f87df0c5ca7b",滑片泵,"83bfc36c-592c-4be7-ac73-823eb15d6000",,,
"6525a307-ea19-4848-b85f-1c42390898d0",液环泵,"83bfc36c-592c-4be7-ac73-823eb15d6000",,,
"3d3f6bc7-e0d3-43a0-939b-2d35da8893d1",其他转子泵,"83bfc36c-592c-4be7-ac73-823eb15d6000",,,
dd790f9f-df66-43d4-b24e-2a8603b2d5eb,单级泵,"1ec6909e-8587-49b7-b35c-e821c8b9771b",,,
ed732cc9-c3d6-49f8-a2f9-5c054672adf2,多级泵,"1ec6909e-8587-49b7-b35c-e821c8b9771b",,,
"5beb2d99-a621-4ea6-ade3-5b6be707530f",高速泵,"1ec6909e-8587-49b7-b35c-e821c8b9771b",,,
"3ebffad8-dc36-4d13-97f1-219a4924a228",辅助仪表,"3f33c95a-3f20-4205-a4f0-0e7f4082a843",,,
"0833a467-906f-4bd0-8ef9-3682da967afe",在线分析仪表,"3f33c95a-3f20-4205-a4f0-0e7f4082a843",,,
cc60cd8a-c282-4c20-814f-3fe725b9add0,特殊仪表,"3f33c95a-3f20-4205-a4f0-0e7f4082a843",,,
a3338590-3bb7-4a2e-9587-1c40745fd600,测量仪表,"3f33c95a-3f20-4205-a4f0-0e7f4082a843",,,
"5102b1b6-ada9-44ca-b728-043b2505fe2b",控制阀及附件,"3f33c95a-3f20-4205-a4f0-0e7f4082a843",,,
"89f4d45e-a6fb-48ea-b259-139b1a97de2f",安全环保仪表,"3f33c95a-3f20-4205-a4f0-0e7f4082a843",,,
e7f96154-735c-463c-964a-7851bec47f93,计量器具,"3f33c95a-3f20-4205-a4f0-0e7f4082a843",,,
a6b585de-28a5-4081-9ba2-a7df459fe828,其它仪器仪表,"3f33c95a-3f20-4205-a4f0-0e7f4082a843",,,
