"REPOSITORY_VERSION","REFERENCE_ID","DOCUMENT_ID","VALUE"
"1858748199830560768_v1",f7ef6a35-d17f-473d-8adc-f570a07bd6b6,"93e28433-b40b-4c0c-927b-b551ff95bfa2",C899C5CB-6A58-41A3-8E76-72FE8944A454
"1858748199830560768_v1","3ee98209-3899-4438-9332-987747f520d5","93e28433-b40b-4c0c-927b-b551ff95bfa2","92E66DBB-0B0D-4DA9-9714-346889740D0F"
"1858748199830560768_v1",bb3af293-d8f8-414b-9b40-18f380847f8a,"93e28433-b40b-4c0c-927b-b551ff95bfa2",F5BD86BD-A7CB-4893-8036-D7BA4E17911F
"1858748199830560768_v1","35b3a904-779b-4677-bad9-60136e7c1681","93e28433-b40b-4c0c-927b-b551ff95bfa2","72139259-041A-44EA-818C-16DCCE0E2C79"
"1858748199830560768_v1",f6dac9ba-df3c-430d-9465-cffdb81e5303,"93e28433-b40b-4c0c-927b-b551ff95bfa2",FEAEB636-E724-40C5-878C-EAC684AE299E
"1858748199830560768_v1",d8455766-82cc-4a79-81d6-a76e012d957a,"93e28433-b40b-4c0c-927b-b551ff95bfa2","93A3C78E-E29A-4138-8B97-B4DEC3631FBC"
"1858748199830560768_v1",d6fc669e-c6d1-458f-ab80-28e5583869a7,"93e28433-b40b-4c0c-927b-b551ff95bfa2","12FB7C09-1739-42EE-B95F-7A9A1F441A06"
"1858748199830560768_v1",e2600d36-b041-40f1-b513-142ff47a880e,"93e28433-b40b-4c0c-927b-b551ff95bfa2",AE85C59E-AD74-4D58-8C5C-BD2C2A25DDEE
"1858748199830560768_v1",faaa5b5f-cda0-4921-9151-7e5096c46931,"93e28433-b40b-4c0c-927b-b551ff95bfa2","4C408F5D-2138-4DEB-BE01-1BA02CF2C83F"
"1858748199830560768_v1",b1bfdec8-ddad-40a9-936d-15c3be84ad8b,"93e28433-b40b-4c0c-927b-b551ff95bfa2",A0ED63AD-6D39-42B6-AD83-1AAD22B6A5D0
"1858748199830560768_v1","663bafa7-9d44-4101-92a3-a46045f37ae4","93e28433-b40b-4c0c-927b-b551ff95bfa2","2148D801-5B1E-4194-82F8-16A42549D554"
"1858748199830560768_v1","757a14c6-39e1-448f-8abb-71acca41b4be","93e28433-b40b-4c0c-927b-b551ff95bfa2","03E59B98-2CB0-43F7-840C-AC552123F9E1"
"1858748199830560768_v1",afadb3c5-cfa5-42bd-a2f3-42f8d88a712b,"93e28433-b40b-4c0c-927b-b551ff95bfa2",FE0E02F1-DD26-4ED9-B728-02109505F696
"1858748199830560768_v1","9b216a70-cfb6-491f-beaf-7f11e66c017c","93e28433-b40b-4c0c-927b-b551ff95bfa2","59E4CBC4-92F1-4003-813B-12F8641BA53E"
"1858748199830560768_v1","9f4b516c-bd2e-4056-8cae-7303f30bfbc0","93e28433-b40b-4c0c-927b-b551ff95bfa2","570680FE-A201-417F-96EC-460A54F4B880"
"1858748199830560768_v1","7ee9e9eb-4f97-4a8f-8ffc-70be68585a44","93e28433-b40b-4c0c-927b-b551ff95bfa2",A11354DB-EA30-4372-9D63-495438D7CB0D
"1858748199830560768_v1","2ab6de5a-d06a-42a9-ad05-5029f74dcdf0","93e28433-b40b-4c0c-927b-b551ff95bfa2",A30954ED-1069-4D4F-A92E-BB46F5F916B6
"1858748199830560768_v1","775e86d9-290b-4277-bee7-4bc2d006c1fa","93e28433-b40b-4c0c-927b-b551ff95bfa2",A068F739-45B3-4206-8074-77E2EF86DE94
"1858748199830560768_v1","7873546c-ef2a-46a6-8df9-d8f69b994f9f","93e28433-b40b-4c0c-927b-b551ff95bfa2","18373235-66C5-4C54-A73C-F1B7FFB69D2B"
"1858748199830560768_v1","4d39662d-0ea7-4347-a754-c77cb3e428cc","93e28433-b40b-4c0c-927b-b551ff95bfa2","3D146959-0793-42EE-9B35-B5FCE9C76E70"
"1858748199830560768_v1","6bbbd711-1146-4333-8e91-832256b2ab58","93e28433-b40b-4c0c-927b-b551ff95bfa2","20AB59AD-D609-42FA-BBBF-88ACFC9D34FD"
"1858748199830560768_v1",d08c2dfc-0513-4c88-9f21-4903e5c7d445,"93e28433-b40b-4c0c-927b-b551ff95bfa2",AF43B061-9757-451B-B105-0A23C77E770D
"1858748199830560768_v1","63cdf34b-7e43-42e9-a79e-801c61b433c5","93e28433-b40b-4c0c-927b-b551ff95bfa2","752FC050-B62F-417D-98E2-163037749F59"
"1858748199830560768_v1","3e0d37c4-7ff4-44b6-a93b-b4e2ffee4abe","93e28433-b40b-4c0c-927b-b551ff95bfa2",C1AF10C4-9A85-43BD-979A-536AB6CA751B
"1858748199830560768_v1","03fef0d5-6500-4438-97fd-611c7f6e56a0","93e28433-b40b-4c0c-927b-b551ff95bfa2","78654185-390C-487C-9A0C-52A1BD8A36C3"
"1858748199830560768_v1",e51e1624-e12f-4ab1-9377-71292c3bc5fc,"93e28433-b40b-4c0c-927b-b551ff95bfa2",C43275C0-5D78-413C-BEFD-DAAE8C795909
"1858748199830560768_v1","78ec187c-c937-40a0-b807-c37d96a61705","93e28433-b40b-4c0c-927b-b551ff95bfa2","019038C2-50FD-4AAE-8717-5D35D044B193"
"1858748199830560768_v1","459bf73f-6ce0-441e-b341-b9fb49891567","93e28433-b40b-4c0c-927b-b551ff95bfa2",AECBB4EF-4F62-4E72-A48A-763962F6C92C
"1858748199830560768_v1",e88e54b7-53d3-4367-a847-50467d65fca8,"93e28433-b40b-4c0c-927b-b551ff95bfa2","916718BF-559D-4B8E-B18A-C7FC3969D1C0"
"1858748199830560768_v1","770338c4-3f22-4056-b52c-ae625b2f6cd8","93e28433-b40b-4c0c-927b-b551ff95bfa2","8DDA9549-4E06-40BE-8DF6-05CECCF3FC2E"
"1858748199830560768_v1","6bf383df-a4e8-4a12-83c6-313294a53a4e","93e28433-b40b-4c0c-927b-b551ff95bfa2",DD17C5BF-AB3F-4EE8-A062-E2FDE46C6519
"1858748199830560768_v1",a811b3bd-03bf-4ffc-9968-b644eb2fcd1e,"93e28433-b40b-4c0c-927b-b551ff95bfa2","79C0CC9C-0A5A-4533-87F8-7F7C2628EC37"
