"REPOSITORY_VERSION","ID","CATEGORY","NAME","TAG"
"1858748199830560768_v1","51d3be73-2cfd-43df-aa6f-1b657acb942b",未知类型,BOX 6 of SUBEQUIPMENT 7 of EQUIPMENT /=201348401/8231-=201348401/8233,
"1858748199830560768_v1","29d14d61-c4d9-4739-895e-bf36ece97386",SUBE,SUBEQUIPMENT 8 of EQUIPMENT /=201348401/8231-=201348401/8233,
"1858748199830560768_v1",dcea22e4-8e2e-4fc3-83c6-0e73e81b6032,未知类型,CYLINDER 1 of SUBEQUIPMENT 8 of EQUIPMENT /=201348401/8231-=201348401/8233,
"1858748199830560768_v1","72db65ec-ad1f-4ab6-b0ba-20f8fc0d40e1",未知类型,CONE 1 of SUBEQUIPMENT 8 of EQUIPMENT /=201348401/8231-=201348401/8233,
"1858748199830560768_v1","421f5be5-e7dd-48d4-8b73-4280e615cf97",未知类型,CYLINDER 2 of SUBEQUIPMENT 8 of EQUIPMENT /=201348401/8231-=201348401/8233,
"1858748199830560768_v1","472e31f3-a7a9-464f-885d-3bc950dc9aeb",未知类型,BOX 1 of SUBEQUIPMENT 8 of EQUIPMENT /=201348401/8231-=201348401/8233,
"1858748199830560768_v1",aed56706-270d-45ae-9f1f-7b248cc62c2d,未知类型,BOX 2 of SUBEQUIPMENT 8 of EQUIPMENT /=201348401/8231-=201348401/8233,
"1858748199830560768_v1",be114191-07c7-47a9-9ffa-3bc0c22a936f,未知类型,BOX 3 of SUBEQUIPMENT 8 of EQUIPMENT /=201348401/8231-=201348401/8233,
"1858748199830560768_v1","659299ae-9a9f-4cc1-b236-38cd5db10209",未知类型,BOX 3 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/8265-=201348401/8267,
"1858748199830560768_v1",dd53bf3c-2a74-4ef5-9d7c-ea21eab86d54,未知类型,CONE 2 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/8265-=201348401/8267,
"1858748199830560768_v1",a15d0d02-dfe6-4521-8466-714a0da3438f,未知类型,CYLINDER 3 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/8265-=201348401/8267,
"1858748199830560768_v1","72ad49f7-1119-4d7c-95e3-8923c8c8d761",未知类型,BOX 4 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/8265-=201348401/8267,
"1858748199830560768_v1",eaf1d3a2-3026-4979-850d-d3b65617f0c6,未知类型,BOX 5 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/8265-=201348401/8267,
"1858748199830560768_v1","305cd4f7-e296-4f6e-8c39-117f92e9420b",未知类型,BOX 6 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/8265-=201348401/8267,
"1858748199830560768_v1","47cbcda7-b9f9-45aa-b4c5-6c914fd3daa2",SUBE,SUBEQUIPMENT 2 of EQUIPMENT /=201348401/8265-=201348401/8267,
"1858748199830560768_v1",ed8a54e6-27a0-4fd1-a881-7377a8b4cb71,未知类型,CYLINDER 2 of SUBEQUIPMENT 11 of EQUIPMENT /=201348401/74034-=201348401/8892,
"1858748199830560768_v1",b00db86f-2219-4217-af5b-8bd99a6bb41e,未知类型,BOX 1 of SUBEQUIPMENT 11 of EQUIPMENT /=201348401/74034-=201348401/8892,
"1858748199830560768_v1","20d76abd-6881-471e-a14c-cb4b3be957f8",未知类型,BOX 2 of SUBEQUIPMENT 11 of EQUIPMENT /=201348401/74034-=201348401/8892,
"1858748199830560768_v1",ee143136-18cf-4c35-8e96-d841954dc33f,未知类型,BOX 3 of SUBEQUIPMENT 11 of EQUIPMENT /=201348401/74034-=201348401/8892,
"1858748199830560768_v1",f8574c35-da93-4c63-8031-3702aba1c87d,未知类型,CONE 2 of SUBEQUIPMENT 11 of EQUIPMENT /=201348401/74034-=201348401/8892,
"1858748199830560768_v1","7f0cc9d1-11c0-448c-af3e-49be72d0fb8c",未知类型,CYLINDER 3 of SUBEQUIPMENT 11 of EQUIPMENT /=201348401/74034-=201348401/8892,
"1858748199830560768_v1","8a0d38e9-c2ce-45fb-9a30-2b328098bca1",未知类型,BOX 4 of SUBEQUIPMENT 11 of EQUIPMENT /=201348401/74034-=201348401/8892,
"1858748199830560768_v1","2a0bd64e-9b35-4287-b788-68bb6c8a7dfd",未知类型,BOX 5 of SUBEQUIPMENT 11 of EQUIPMENT /=201348401/74034-=201348401/8892,
"1858748199830560768_v1",a157698d-01e4-46a1-9537-b77484d4208a,未知类型,BOX 6 of SUBEQUIPMENT 4 of EQUIPMENT /=201348401/74012-=201348401/74010,
"1858748199830560768_v1",af1047c9-a19d-4289-a6e9-7bab903c597e,EQUI,/=201348401/74015-=201348401/74012,
"1858748199830560768_v1",c3751df7-aae1-4ec2-9a6e-e93c2615d959,SUBE,SUBEQUIPMENT 1 of EQUIPMENT /=201348401/74015-=201348401/74012,
"1858748199830560768_v1","936472cd-4e64-441a-8319-d37a264776a8",未知类型,CYLINDER 1 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/74015-=201348401/74012,
"1858748199830560768_v1",e7d5a1ce-5ca4-4017-adcd-39529bfbb4e9,未知类型,CONE 1 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/74015-=201348401/74012,
"1858748199830560768_v1","2f14fa43-b7c7-457f-9795-bbfb1fd6510d",未知类型,CYLINDER 2 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/74015-=201348401/74012,
"1858748199830560768_v1","1431322e-fb4f-40e1-ae7a-63eaf64fce87",未知类型,BOX 1 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/74015-=201348401/74012,
"1858748199830560768_v1","3df2795d-ff9a-4f23-bb63-7cda7406932d",未知类型,BOX 2 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/74015-=201348401/74012,
"1858748199830560768_v1","5eaa02e8-60f0-42e3-b98b-f1a8486a7402",未知类型,BOX 3 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/74015-=201348401/74012,
"1858748199830560768_v1","0b719632-9ef5-4850-a361-ff1089c4a92f",未知类型,CONE 2 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/74015-=201348401/74012,
"1858748199830560768_v1",b649d314-9146-4c68-aabe-ba457901b9c3,未知类型,CYLINDER 3 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/74015-=201348401/74012,
"1858748199830560768_v1","9d992794-03b9-44ca-ad55-03b7c2aa5bbf",未知类型,BOX 4 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/74015-=201348401/74012,
"1858748199830560768_v1","0207f73a-1993-4dcc-9639-a1250280f1ec",未知类型,BOX 5 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/74015-=201348401/74012,
"1858748199830560768_v1","142bd3aa-125e-4e53-b215-b9b397a95656",未知类型,BOX 6 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/74015-=201348401/74012,
"1858748199830560768_v1","7c86dd68-9054-4435-a12b-466029b01665",SUBE,SUBEQUIPMENT 2 of EQUIPMENT /=201348401/74015-=201348401/74012,
"1858748199830560768_v1","40bd6eb8-2e5b-42e2-9aea-65b7733578a8",未知类型,CYLINDER 1 of SUBEQUIPMENT 2 of EQUIPMENT /=201348401/74015-=201348401/74012,
"1858748199830560768_v1","818c70b3-88ef-49cf-a515-66b95d70fb5f",未知类型,CONE 1 of SUBEQUIPMENT 12 of EQUIPMENT /=201348401/8894-=201348401/74035,
"1858748199830560768_v1","65d88b00-268d-4512-9e1f-9b100e25cde4",未知类型,CYLINDER 2 of SUBEQUIPMENT 12 of EQUIPMENT /=201348401/8894-=201348401/74035,
"1858748199830560768_v1","3781a497-208b-4d87-991d-a26d59f76a52",未知类型,BOX 1 of SUBEQUIPMENT 12 of EQUIPMENT /=201348401/8894-=201348401/74035,
