"REPOSITORY_VERSION","ID","TARGET_ITEM_ID","SOURCE_DOCUMENT_ID","TARGET_DOCUMENT_ID"
"1858748199830560768_v1","69479f7f-c592-4724-befc-3067083ecab4",a7265a85-c147-439a-ab67-50f4b37a2384,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","70b30442-5811-4762-a240-f138980965f0","4f648e83-94c9-496a-bf91-5b9e186898a4","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","6b42fae7-b0cb-4a19-aca1-974666afd395","80dda525-a699-4023-b350-e364127d7ded","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","31402c3a-ede1-4934-9829-89723963637a",def93990-e334-437a-a4bf-6efcec35947e,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","9a59f20f-b6be-4478-9892-ada0b7ff36e2","1907d8e7-a0a1-4ca0-ae95-8a7bb6db86a8","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","39c5576e-6b9e-4302-8d71-f5d112a3dc6b",b591cd82-2d42-4fc1-abb9-6473fe37584d,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",d2980caa-3f15-4cfe-ab5c-c94973665205,cdfcaa24-3144-48a1-8219-078033ad4e94,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","06b489df-9116-42a2-9179-84b696bb667e","08003f97-5882-40f0-b5dd-0354cbafab77","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","7536229a-c9ec-4b5d-aba2-aa2d975b4072","0e7669c1-7e91-4dce-b4e9-98d111827c52","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","6dcd6e08-d2b7-4c2b-ae65-f7d060d37ec3",c8dce1e6-f5be-42a7-b7c6-87229601d9ca,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","86a05247-7255-4bf4-bdc4-1bc0ea2adf3d","34bace8e-390e-4a12-97be-2eada4eadedc","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","5178bca8-8801-41d3-bb3e-e2b95b887a0e","44b086f8-31c4-4012-bc2a-b3f792e4a607","93e28433-b40b-4c0c-927b-b551ff95bfa2",
