"REPOSITORY_VERSION","ID","COMPOSITION_ITEM_ID","ITEM_ID"
"1858748199830560768_v1",adc6d1fb-f816-4093-b6c1-77658a948b49,"8e6a0457-c08f-4995-9b37-ea36db7d1bf5","9e0a3ae4-217d-49eb-b831-db9446421538"
"1858748199830560768_v1",ebe3aea3-c933-40b0-ba93-a9a95b5f867d,"8e6a0457-c08f-4995-9b37-ea36db7d1bf5","8e3cd8a9-b341-4ae0-ab99-04dbce5eab66"
"1858748199830560768_v1","79bddf86-ca36-4d54-b2d0-89b0ad7233bd","8e6a0457-c08f-4995-9b37-ea36db7d1bf5","8c2977a0-0e79-4ffd-8944-dc8e36d906ea"
"1858748199830560768_v1","67e71655-a6aa-466f-9687-38d737d54960","8e6a0457-c08f-4995-9b37-ea36db7d1bf5",a3c7f18f-3a1b-4185-aab5-cf50ac2905ec
"1858748199830560768_v1","31d21494-60ea-45c0-a2eb-fecd43ef7259","741941a2-027c-47de-9c85-08cd1bad2f95","18348649-b528-4e32-8076-6e1512780643"
"1858748199830560768_v1","61dea034-68fa-4e5b-8632-dd85339589b6","18348649-b528-4e32-8076-6e1512780643","0a012cd9-3074-4249-bde9-b28d7ee796dd"
"1858748199830560768_v1","40639d64-43cf-411d-8d34-8c3f955deea6","18348649-b528-4e32-8076-6e1512780643","30bdb018-1c6b-4631-a115-c880b8b35af7"
"1858748199830560768_v1","5c55e7d9-bc12-4aeb-8940-fddcbe71eff5","18348649-b528-4e32-8076-6e1512780643","1cf73e0d-6880-4a09-ab12-ccfd0c51b85c"
"1858748199830560768_v1","3209256f-f01a-43a0-b6fd-6ccd87f3fdb3","18348649-b528-4e32-8076-6e1512780643",dea3b6dc-4d25-4048-a0c7-b734748956c1
"1858748199830560768_v1","2d1a70ca-9605-4eea-865f-a441e2f472f3","18348649-b528-4e32-8076-6e1512780643","4deccbf5-92c0-4b4b-acf0-cee80465e367"
"1858748199830560768_v1","7a0ee049-f522-4e6a-a4d4-05a936ad436d","18348649-b528-4e32-8076-6e1512780643","19ecf536-584a-407e-97b1-3bf1a30bebf6"
